FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
69,0.529864372,29.32,22.36,0.866,0.61,0.441,90,30.364417,89.626931,5082,271.25,300.275,13.9,71.15,134,-205,286.55,252.65,280.15,262.15,247,82,0,138,195,0
70,0.549261324,25.91,17.73,0.776,0.603,0.263,146,30.620575,91.715229,4896,271.65,300.315,14.9,72.37,142,-211,287.35,252.05,280.65,262.15,322,88,1,118,230,3
71,0.648104214,22.73,16.28,0.89,0.709,0.19,167,30.839405,93.815418,5022,270.75,300.225,14,68.69,127,-209,285.85,252.25,279.25,261.75,441,106,2,103,283,8
72,0.425979984,24.77,17.05,0.69,0.737,0.295,97,31.020661,95.925707,4598,273.45,300.495,13.6,64.72,151,-168,288.25,256.35,281.45,264.95,552,124,3,96,337,12
73,0.529579022,26.11,17.46,0.786,0.77,0.357,175,31.164134,98.04425,4040,276.65,300.815,15,63.29,183,-147,291.45,258.45,284.35,268.15,510,113,2,98,311,8
74,0.63454843,23.7,14.09,0.966,0.821,0.456,432,31.269658,100.169155,4635,272.25,300.375,14.3,64.26,126,-202,285.75,252.95,279.95,263.55,697,153,3,98,422,13
75,0.702158899,23.83,12.26,0.81,0.793,0.799,1148,31.337108,102.298499,4126,274.05,300.555,13.5,60.43,142,-175,287.35,255.65,281.35,265.85,919,173,6,85,500,22
76,0.474346042,23.46,10.79,0.809,0.561,0.636,660,31.366403,104.430331,536,289.55,302.105,7.4,71.05,297,21,302.85,275.25,298.25,279.85,931,236,6,100,593,24
77,-0.164010799,22.97,9.36,0.69,0,0,84,31.35751,106.562688,496,289.85,302.135,7.5,72.75,310,24,304.15,275.55,298.95,280.05,1116,197,14,70,542,44
78,0.282372868,25.35,10.74,0.78,0.658,0.49,501,31.310438,108.693605,696,288.75,302.025,8,75.28,314,15,304.55,274.65,298.25,278.75,1220,202,13,66,545,47
79,0.147736791,23.41,11.05,0.763,0.623,0.713,578,31.225244,110.821123,1233,284.65,301.615,8.2,76.91,268,-35,299.95,269.65,294.45,274.45,1168,198,21,59,501,78
80,-0.077434349,22.91,11.19,0.81,0.405,0,40,31.102028,112.943303,143,289.15,302.065,8.3,86.23,317,-5,304.85,272.65,299.95,277.65,1001,174,24,54,430,91
81,-0.204980238,21.65,10.57,0.878,0.521,0.512,214,30.940936,115.058234,113,289.55,302.105,8.8,87.05,328,-3,305.95,272.85,300.55,277.95,1299,221,28,56,589,120
