FID_grid_v,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation
61,0.742,0,0.842,26,29.325695,112.776963,29
123,0.791,0.624,0.61,53,34.26512,117.70424,24
32,0.663,0.557,0,47,24.608961,120.756485,20
183,1,0,0,13,39.517354,121.654244,18
161,0.9,0.63,0.144,10,37.990503,115.996257,16
84,0.967,0.365,0.501,100,30.174879,121.050835,8
162,1,0,0,8,37.557204,118.028599,7
1,0.7,0.146,0.058,502,20.245266,110.139487,5
103,0.861,0.465,0,95,32.265364,119.567451,3
124,1,0,0.59,25,33.844805,119.603353,1
9,0.655,0,0.116,100,22.542729,113.900856,0
211,0.691,0.732,0.481,81,42.898594,89.399984,-46
